cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
labor market outcomes,the chance of victimization at the same time that victimization affects labor market outcomes,topic_950,topic_1760,Scaring or Scarring? Labor Market Effects of Criminal Victimization,74652,topic_1462,"
criminal victimization --> labor market outcomes (and well-being)","
especially for women multiple victimizations --> the persistent labor market responses—but given the large share with only one victimization, they are unlikely to capture the full story",[74639],[74949],1,1,['Scaring or Scarring? Labor Market Effects of Criminal Victimization'],TRUE
labor market outcomes,"the chance of victimization at the same time that victimization affects labor market outcomes, resulting in simultaneity bias",topic_950,topic_1760,Scaring or Scarring? Labor Market Effects of Criminal Victimization,74753,topic_1462,"
criminal victimization --> labor market outcomes (and well-being)","
especially for women multiple victimizations --> the persistent labor market responses—but given the large share with only one victimization, they are unlikely to capture the full story",[74639],[74949],1,1,['Scaring or Scarring? Labor Market Effects of Criminal Victimization'],TRUE
labor market outcomes,the chance of victimization at the same time that victimization affects labor market outcomes,topic_950,topic_1760,Scaring or Scarring? Labor Market Effects of Criminal Victimization,74754,topic_1462,"
criminal victimization --> labor market outcomes (and well-being)","
especially for women multiple victimizations --> the persistent labor market responses—but given the large share with only one victimization, they are unlikely to capture the full story",[74639],[74949],1,1,['Scaring or Scarring? Labor Market Effects of Criminal Victimization'],TRUE
"The advantage of CAL lessons relative to teacher-centered lessons was most pronounced in the domain of number sense and elementary arithmetic and less so with respect to geometry, measurement, and data","Focusing on number sense and elementary arithmetic, the difference between the CAL and non-CAL treatments increases to 0.11 ( p =.06 ) for CAL instructed by teachers and to 0.09 ( p =.12 ) for CAL monitored by supervisors",topic_6460,topic_1747,The Relative Effectiveness of Teachers and Learning Software: Evidence from a Field Experiment in El Salvador,71919,topic_7053,"
the impact of the additional math lessons instructed by a teacher is decreasing in both the grade level and the baseline achievement of their students --> both CAL interventions outperform the additional math lessons instructed by teachers","
additional lessons taught by a teacher are less effective in higher grades --> The effects of the CAL treatments do not significantly vary along grade level of students",[72318],[72195],1,1,['The Relative Effectiveness of Teachers and Learning Software: Evidence from a Field Experiment in El Salvador'],TRUE
they will receive an inflow of workers from non-ER regions,This will simultaneously increase the cost of housing in ER provinces while lowering it in the non-ER regions,topic_7382,topic_3936,Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects,20906,topic_3830,"
an increase in oil prices --> they will receive an inflow of workers from non-ER regions","
an increase in oil prices --> will initially make the ER province more attractive",[20905],[20905],1,1,['Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects'],TRUE
positive labor demand shocks increase population more than negative shocks reduce population,housing prices also respond asymmetrically,topic_3572,topic_1773,The Incidence of Local Labor Demand Shocks,34802,topic_48,"
the mobility subsidies --> increase the magnitude of low-skill out-migration following adverse shocks relative to the system of means-tested transfer payments","
These mobility costs --> both population and housing prices to respond asymmetrically",[35188],[34772],1,1,['The Incidence of Local Labor Demand Shocks'],TRUE
the promotions of female employees in its own firm are ability or quota based,"In equilibrium, the firm makes a profit on promoted women with high ability",topic_2288,topic_2465,Labor Market Quotas When Promotions Are Signals,46641,topic_6412,"
information advantage --> employers’ promotion decisions","
the information advantage --> The firm makes a profit on the promoted employees",[46660],[46980],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
Each firm knows whether the promotions of female employees in its own firm are ability or quota based,"In equilibrium, the firm makes a profit on promoted women with high ability",topic_2288,topic_2465,Labor Market Quotas When Promotions Are Signals,46642,topic_6412,"
information advantage --> employers’ promotion decisions","
the information advantage --> The firm makes a profit on the promoted employees",[46660],[46980],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
the trends prior to the policy changes have specific shapes,there is on average across all of the state-level increases in minimum wage between 1985 and 2012 a very clear positive trend in low-skill employment before the policy change that flattens out with the policy,topic_4349,topic_5506,Minimum Wages and Spatial Equilibrium: Theory and Evidence,10250,topic_4796,"
minimum wages increase --> There is a clear positive trend leading to the policy change","
some increases in minimum wages are larger --> some states have higher shares of workers potentially affected by minimum wage increases",[10506],[10711],1,1,['Minimum Wages and Spatial Equilibrium: Theory and Evidence'],TRUE
policy changes occurring at a specific point in time,have very similar effects on treatment and control groups that entered at different points in time,topic_4349,topic_3876,Interpreting Experimental Evidence in the Presence of Postrandomization Events: A Reassessment of the Self-Sufficiency Project,37823,topic_4952,"
the SSP financial incentive ended --> treatment-control convergence occurred even without the policy changes","
the SSP financial incentive ended --> treatment-control convergence occurred",[37807],[37810],1,1,['Interpreting Experimental Evidence in the Presence of Postrandomization Events: A Reassessment of the Self-Sufficiency Project'],TRUE
teachers with higher classroom observation or classroom achievement growth scores,were more likely to be retained in treatment schools than in control schools,topic_2426,topic_7489,Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation,33405,topic_5602,"
the intervention --> more general determinants of performance at school","
the intervention --> differences in grades obtained at the end of grade 11 or grade 12 as well as differences in high school graduation probability between higher- and lower-ability volunteers are significantly more important in the treatment group than in the control group",[29442],[29420],1,1,['A Pleasure That Hurts: The Ambiguous Effects of Elite Tutoring on Underprivileged High School Students'],FALSE
how teacher performance is measured,has a larger effect on student achievement than doubling the size of potential rewards,topic_2426,topic_4802,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11576,topic_5602,"
the intervention --> more general determinants of performance at school","
the intervention --> the effect on high-ability students tend to be more significant on grade 12 exams",[29442],[29420],1,1,['A Pleasure That Hurts: The Ambiguous Effects of Elite Tutoring on Underprivileged High School Students'],FALSE
how teacher performance is measured,a larger effect on student achievement than doubling the size of potential rewards,topic_2426,topic_4802,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11577,topic_5602,"
the intervention --> more general determinants of performance at school","
the intervention --> the effect on high-ability students tend to be more significant on grade 12 exams",[29442],[29420],1,1,['A Pleasure That Hurts: The Ambiguous Effects of Elite Tutoring on Underprivileged High School Students'],FALSE
how teacher performance is measured,has a larger effect on student performance than doubling the size of potential rewards,topic_2426,topic_4802,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11849,topic_5602,"
the intervention --> more general determinants of performance at school","
the intervention --> the effect on high-ability students tend to be more significant on grade 12 exams",[29442],[29420],1,1,['A Pleasure That Hurts: The Ambiguous Effects of Elite Tutoring on Underprivileged High School Students'],FALSE
programs where teachers are observed and scored using FFT or similar rubrics,positive effects on student achievement,topic_2426,topic_3145,Teacher Peer Observation and Student Test Scores: Evidence from a Field Experiment in English Secondary Schools,54104,topic_1526,"
educators could have put greater emphasis on tested content, reallocated nonclass time in more productive ways, or monitored student progress more closely --> richer measures of teacher behavior could yield more insights on the pathways by which pay for performance affects student achievement","
educators could have put greater emphasis on tested content, reallocated nonclass time in more productive ways, or monitored student progress more closely --> improvements in student achievement",[33478],[33477],1,1,['Do Educator Performance Incentives Help Students? Evidence from the Teacher Incentive Fund National Evaluation'],FALSE
How student achievement scores are used to measure teacher performance,the strength of incentive schemes and hence effort devoted by teachers toward improving student outcomes,topic_2426,topic_1163,Pay by Design: Teacher Performance Pay Design and the Distribution of Student Achievement,11563,topic_998,"
the test measures knowledge of the teaching subject --> teacher test scores tend to have a stronger correlation with teacher effectiveness than characteristics like education, experience (beyond the 2 years), and salaries","
teacher test scores --> teacher performance (value added to student achievement)",[6282],[6282],1,1,['Rules versus Discretion in Public Service: Teacher Hiring in Mexico'],FALSE
low-birth-weight infants did not survive,"singleton birth weights during our period of study ranged between 3,400 and 3,500 grams",topic_495,topic_254,Long-Run Consequences of Exposure to Natural Disasters,10050,topic_6427,"
in utero hurricane exposure would have to reduce birth weight by about 1,150 grams ( 5.3 / 1.2  260 ) or 33% of the average birth weight in the late nineteenth century --> low-birth-weight infants were unlikely to have survived","
in utero hurricane exposure would have to reduce birth weight by about 1,150 grams ( 5.3 / 1.2  260 ), or 33% of the average birth weight in the late nineteenth century --> high-birth-weight infants during our period of study ranged between 3,400 and 3,500 grams",[10051],[10050],1,1,['Long-Run Consequences of Exposure to Natural Disasters'],TRUE
investments into the human resources of welfare systems,can have high economic payoffs,topic_475,topic_1110,The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences,40350,topic_3,"
education --> welfare gains for individuals","
education --> the transitory and persistent component of earnings",[3023],[3019],1,1,"['More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle']",FALSE
welfare,the immediate increase in welfare benefit receipt is more than twice as large for females (5.5%) as for males (2.2%),topic_475,topic_2764,Scaring or Scarring? Labor Market Effects of Criminal Victimization,74880,topic_2773,"
the social benefits of lowering the implicit tax rate must exceed those of increasing the weekly benefit level --> the former to be more welfare enhancing","
the low tax rates --> the fiscal externality is driven mostly by the increased benefit payments",[59838],[59750],1,1,['Are Sufficient Statistics Necessary? Nonparametric Measurement of Deadweight Loss from Unemployment Insurance'],FALSE
the worker is empowered,worker skills and effort are complements in the employer’s profit function,topic_1057,topic_4234,"Empowerment, Task Commitment, and Performance Pay",72501,topic_6120,"
empowerment --> a considerable increase of a worker’s control of his task","
empowerment --> the employer to use the worker’s intrinsic incentives from feeling committed",[72374],[73114],1,1,"['Empowerment, Task Commitment, and Performance Pay']",TRUE
individuals exited unemployment within a year,the absence of a highly productive caseworker increases recurrence by 1.2 percentage points (4% relative to the group-specific mean),topic_3860,topic_650,The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences,40292,topic_419,"
absences --> the probability of exiting unemployment","
absences --> serve as a source of exogenous variation in the quantity and quality of caseworker interactions experienced by unemployed individuals",[40121],[39803],1,1,['The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences'],TRUE
costs associated with instructional activity vary greatly across disciplines,Analyses of costs at the institution level mask this heterogeneity,topic_2150,topic_1046,Why Is Math Cheaper than English? Understanding Cost Differences in Higher Education,48728,topic_3938,"
large differences in class size across disciplines --> instructional cost differences across fields","
large differences in class size --> This variation in costs",[48566],[48717],1,1,['Why Is Math Cheaper than English? Understanding Cost Differences in Higher Education'],TRUE
once contest size is sufficiently large such that weak contestants challenge strong contestants,further increasing contest size discourages weak contestants proportionately more than it discourages strong contestants,topic_493,topic_1154,"Less Competition, More Meritocracy?",71424,topic_231,"
increasing contest competitiveness --> inclines weak contestants to challenge strong contestants","
the outcomes of these contests --> contestants and society through their effects on selection rather than through the outputs the contests engender",[71256],[70985],1,1,"['Less Competition, More Meritocracy?']",TRUE
"a decrease in the selection quota, m, or an increase in contest size, n",increasing contest competitiveness,topic_1154,topic_231,"Less Competition, More Meritocracy?",71253,topic_5011,"
competitiveness --> selection efficiency rather than contestant performance","
competition and high standards --> make contests more meritocratic",[71005],[70990],1,1,"['Less Competition, More Meritocracy?']",TRUE
"the selection quota, m, decreases or contest size, n, increases",challenge equilibria also exist,topic_1154,topic_231,"Less Competition, More Meritocracy?",71256,topic_5011,"
competitiveness --> selection efficiency rather than contestant performance","
competition and high standards --> make contests more meritocratic",[71005],[70990],1,1,"['Less Competition, More Meritocracy?']",TRUE
"increasing contest competitiveness, through either a decrease in the selection quota, m, or an increase in contest size, n",weak contestants to challenge strong contestants,topic_1154,topic_493,"Less Competition, More Meritocracy?",71255,topic_5011,"
competition and high standards --> make contests more meritocratic
the outcomes of these contests --> contestants and society through their effects on selection rather than through the outputs the contests engender","
competition and high standards --> make contests more meritocratic
increasing contest competitiveness --> inclines weak contestants to challenge strong contestants","[70990, 70985]","[70990, 71256]",2,2,"['Less Competition, More Meritocracy?']",TRUE
Reducing the selection quota or increasing contest size,makes it less likely that besting only weak rivals is sufficient for winning a place,topic_1154,topic_493,"Less Competition, More Meritocracy?",71257,topic_5011,"
competition and high standards --> make contests more meritocratic
the outcomes of these contests --> contestants and society through their effects on selection rather than through the outputs the contests engender","
competition and high standards --> make contests more meritocratic
increasing contest competitiveness --> inclines weak contestants to challenge strong contestants","[70990, 70985]","[70990, 71256]",2,2,"['Less Competition, More Meritocracy?']",TRUE
economic rents are shared with different types of workers at petroleum extraction companies,the earnings of the highest-paid employee at a petroleum extraction firm are considerably more responsive to changes in oil prices than the average elasticity of rent sharing,topic_6054,topic_1977,Rent Sharing within Firms,80118,topic_4926,"
the price of crude oil --> economic rents for firms outside the petroleum extraction subsector","
the price of crude oil --> an instrument for the profitability of upstream petroleum firms in a given year",[80198],[80084],1,1,['Rent Sharing within Firms'],TRUE
men who dislike children,are less willing to have premarital sex,topic_4922,topic_2445,The Effect of Child Support on Selection into Marriage and Fertility,31500,topic_4384,"
a government-enforced lump sum transfer  > 0 from the father to the mother in the case of nonmarital fertility --> at least some men with distaste for children—that is, some men with v M  0 —are still willing to have premarital sex","
they now receive child support payments in the event of a nonmarital pregnancy --> Women who continue to reject premarital sex",[31485],[31510],1,1,['The Effect of Child Support on Selection into Marriage and Fertility'],TRUE
absences,the probability of exiting unemployment,topic_419,topic_3860,The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences,40121,topic_4931,"
workload --> absences","
workload --> unemployment exit",[40037],[40038],1,1,['The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences'],TRUE
absences,serve as a source of exogenous variation in the quantity and quality of caseworker interactions experienced by unemployed individuals,topic_419,topic_650,The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences,39803,topic_4931,"
workload --> absences","
workload --> unemployment exit
individuals exited unemployment within a year --> the absence of a highly productive caseworker increases recurrence by 1.2 percentage points (4% relative to the group-specific mean)",[40037],"[40038, 40292]",1,2,['The Role of Caseworkers in Unemployment Insurance: Evidence from Unplanned Absences'],TRUE
the negative duration dependence channel were dominant,the control group to receive lower wages and experience lower wage growth,topic_1029,topic_2225,Blame the Parents? How Parental Unemployment Affects Labor Supply and Job Quality for Young Adults,922,topic_5663,"
workers’ first jobs being worse --> negative long-term effects of these conditions","
dirty and dangerous jobs --> some of the largest hedonic wage premiums among low-wage occupations are earned",[70117],[8353],1,1,"['Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession', 'Hedonic-Based Labor Supply Substitution and the Ripple Effect of Minimum Wages']",FALSE
"the policy accelerated monthly transitions from unemployment to employment by 0.006 (SE, 0.005) percentage points for the high-probability group and by 0.004 (SE, 0.004) percentage points for the high-recall group",some individuals were pushed permanently into long-term unemployment,topic_6173,topic_4325,Seeing beyond the Trees: Using Machine Learning to Estimate the Impact of Minimum Wages on Labor Market Outcomes,80725,topic_5123,"
the Great Recession --> accounting for the dramatic rise in long-term unemployment and the outward shift in the Beveridge curve","
the Great Recession --> increased unemployment at long durations",[23468],[23595],1,1,['Long Time Out: Unemployment and Joblessness in Canada and the United States'],FALSE
"they are eligible for more in EITC benefits ($1,450 vs. $1,020)",they are more likely to be eligible for at least some benefits (50% vs. 34%),topic_4399,topic_2653,The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?,71576,topic_3400,"
lower household earnings --> they are eligible for more in EITC benefits ($1,450 vs. $1,020)","
lower household earnings --> they are eligible for more in EITC benefits ($1,450 vs. $1,020) and are more likely to be eligible for at least some benefits (50% vs. 34%)",[71574],[71577],1,1,['The Earned Income Tax Credit and Maternal Time Use: More Time Working and Less Time with Kids?'],TRUE
workers who already earn more,also receive higher proportions of firm rents than their lower-paid counterparts at the same company,topic_3995,topic_2639,Rent Sharing within Firms,80014,topic_6643,"
oil prices --> earnings of workers at air transportation firms","
Oil Prices --> Firm Rents",[80191],[80210],1,1,['Rent Sharing within Firms'],TRUE
Reliance on part-time work,may limit the need to pay overtime,topic_7415,topic_4045,Cyclical and Market Determinants of Involuntary Part-Time Employment,25937,topic_4977,"
the number of jobs in which only part-time hours are offered exceeds the number of employed individuals who prefer part-time over full-time schedules --> the distinction between voluntary and involuntary part-time work to be meaningful","
part-time workers are less likely than full-time workers to cross the legally mandated overtime threshold of 40 weekly hours --> may limit the need to pay overtime",[25881],[25942],1,1,['Cyclical and Market Determinants of Involuntary Part-Time Employment'],TRUE
"weekly hours are reported by employers and reflect contracted hours, including overtime hours",hours variation is an important part of the story—exposure to the law has little effect on hours or our measures of hours variability,topic_1201,topic_611,"More Education, Less Volatility? The Effect of Education on Earnings Volatility over the Life Cycle",3330,topic_1929,"
overtime work --> an operator’s scheduled earnings (the sum of their scheduled monthly work hours multiplied by their wage)","
overtime work --> Further discretion in the choice of working hours",[68810],[66366],1,1,"['Constraints on Hours within the Firm', 'Why Do Women Earn Less than Men? Evidence from Bus and Train Operators']",FALSE
"Debt-free college attendees have a higher homeownership rate than their indebted peers at age 22, but those with debt catch and surpass the debt-free group by age 29",those who borrow moderate amounts Start off less likely to own than nonborrowers but eventually catch up,topic_568,topic_2041,Student Loans and Homeownership,27870,topic_431,"
student loan debt repayment --> the effect of student loan debt on homeownership attenuates over time","
student loan debt --> the borrower’s ability to obtain a mortgage and, hence, enter homeownership",[27790],[27768],1,1,['Student Loans and Homeownership'],TRUE
"debt-free college attendees have a higher homeownership rate than their indebted peers at age 22, but those with debt catch and surpass the debt-free group by age 29",those with debt catch and surpass the debt-free group by age 29,topic_568,topic_2041,Student Loans and Homeownership,27871,topic_431,"
student loan debt repayment --> the effect of student loan debt on homeownership attenuates over time","
student loan debt --> the borrower’s ability to obtain a mortgage and, hence, enter homeownership",[27790],[27768],1,1,['Student Loans and Homeownership'],TRUE
Increasing access to education,may have consequences that go beyond effects on marginal students encouraged to enroll,topic_119,topic_1913,The Indirect Effects of Educational Expansions: Evidence from a Large Enrollment Increase in University Majors,35212,topic_2197,"
online education --> can improve access to education","
online instruction, even forms that blend face-to-face and virtual instruction --> may harm student performance, especially for lower-achieving students",[1753],[48714],1,1,"['Why Is Math Cheaper than English? Understanding Cost Differences in Higher Education', 'Can Online Delivery Increase Access to Education?']",FALSE
increased education,"a longer work life, lower lifetime unemployment, higher social status, and gains in education for the grandchildren’s generation",topic_119,topic_232,The Intergenerational Transmission of Human Capital: Evidence from the Golden Age of Upward Mobility,81299,topic_2230,"
Worsening economic conditions --> increase educational attainment","
the economy worsens --> the employment of more highly educated and older, more experienced workers in the childcare sector",[70271],[77418],1,1,"['Did Timing Matter? Life Cycle Differences in Effects of Exposure to the Great Recession', 'Childcare over the Business Cycle']",FALSE
many US men had to delay marriage until their fathers died,in order to inherit property and thus be able to marry,topic_3663,topic_2321,Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education,84218,topic_4973,"
to educate both partners --> couples at the top of the endowment distribution to start delaying marriage","
the husband acquires an education or neither spouse does --> a couple can marry young",[84358],[84287],1,1,['Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education'],TRUE
the couple decides on marriage,"if both partners agree, they marry and bargain over marriage allocations; otherwise, they remain single",topic_2321,topic_1101,The Effect of Child Support on Selection into Marriage and Fertility,31481,topic_1053,"
they have weakly lower bargaining power in marriage --> Men who can credibly commit to marriage","
some randomly selected couples foresee emerging from bargaining --> the allocations that some randomly selected couples foresee may be worse for one of them than never marrying",[31515],[2965],1,1,"['How Bargaining in Marriage Drives Marriage Market Equilibrium', 'The Effect of Child Support on Selection into Marriage and Fertility']",FALSE
they marry early,couples can pool resources and finance the education of one of the spouses more easily,topic_2321,topic_6385,Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education,84042,topic_4973,"
to educate both partners --> couples at the top of the endowment distribution to start delaying marriage
many US men had to delay marriage until their fathers died --> in order to inherit property and thus be able to marry","
it is optimal for both spouses to get educated --> the joint household income will need to finance the education of both spouses in addition to covering the marriage setup cost","[84358, 84218]",[84045],2,1,['Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education'],TRUE
when they marry early,couples can pool resources and finance the education of one of the spouses more easily,topic_2321,topic_6385,Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education,84044,topic_4973,"
to educate both partners --> couples at the top of the endowment distribution to start delaying marriage
many US men had to delay marriage until their fathers died --> in order to inherit property and thus be able to marry","
it is optimal for both spouses to get educated --> the joint household income will need to finance the education of both spouses in addition to covering the marriage setup cost","[84358, 84218]",[84045],2,1,['Putting the Husband Through: The Role of Credit Constraints in the Timing of Marriage and Spousal Education'],TRUE
raising mean migration duration by 5.0% (compared with the 4.8% in fig. 4A ),reduces the mean number of trips per migrant by 3.6% (compared with 2.8% in fig. 4C ),topic_3478,topic_6244,Borrowing Constraints and the Dynamics of Return and Repeat Migration,82995,topic_2228,"
a counterfactual decrease in earnings by 10% --> raises mean migration duration by 5.0% (compared with the 4.8% in fig. 4A )","
a counterfactual decrease in earnings by 10% --> reduces the mean number of trips per migrant by 3.6% (compared with 2.8% in fig. 4C )",[82992],[82994],1,1,['Borrowing Constraints and the Dynamics of Return and Repeat Migration'],TRUE
the null effect of the university SGL,wages,topic_1715,topic_291,Labor Market Returns to Student Loans for University: Evidence from Chile,38277,topic_3566,"
the minimum wage --> wage percentiles above and beyond the corresponding value of the minimum wage
occupations that earn well above the minimum wage --> see no effect","
the minimum wage --> incumbent wages","[61036, 55447]",[50120],2,1,"['Labor Market Institutions and the Distribution of Wages: The Role of Spillover Effects', 'Dropouts Need Not Apply? The Minimum Wage and Skill Upgrading', 'State Minimum Wages, Employment, and Wage Spillovers: Evidence from Administrative Payroll Data']",FALSE
a better match between employer needs and worker skills,may result in higher productivity,topic_1695,topic_2735,"“Good” Firms, Worker Flows, and Local Productivity",12677,topic_1544,"
agglomeration --> allows a better match between employer needs and worker skills","
agglomeration --> higher productivity",[12673],[12673],1,1,"['“Good” Firms, Worker Flows, and Local Productivity']",TRUE
the norms are suboptimal,nudging toward social norms may not be optimal,topic_2742,topic_6592,Changing College Choices with Personalized Admissions Information at Scale: Evidence on Naviance,42705,topic_4988,"
recent decades have witnessed considerable growth in women’s wages and the advent of technology to minimize biological differences without a corresponding reduction of the same magnitude in household sex specialization --> sticky social norms about gender roles","
recent decades have witnessed considerable growth in women’s wages and the advent of technology to minimize biological differences without a corresponding reduction of the same magnitude in household sex specialization --> sticky social norms about gender roles may be perpetuating higher levels of specialization than necessarily efficient for the household",[14232],[14234],1,1,['Reserving Time for Daddy: The Consequences of Fathers’ Quotas'],FALSE
higher origin country earnings,increase in the average number of trips is slightly stronger among high earners,topic_2072,topic_6027,Borrowing Constraints and the Dynamics of Return and Repeat Migration,83016,topic_4154,"
individuals know that the future option to emigrate will be more easily affordable if desired --> A rise in earnings expected in the home country","
individuals know that the future option to emigrate will be more easily affordable if desired --> boosts the value of returning further",[82966],[82969],1,1,['Borrowing Constraints and the Dynamics of Return and Repeat Migration'],TRUE
